scan_idx,phant_id,breast_radius_mm,localization_error_mm,iou,dice,scr_db,smr_db,cnr,peak_intensity,tvsvd_rank_removed,blob_threshold_used,runtime_sec
0,A13F14,43.8,19.72485607250044,0.00849575212393803,0.01684836471754212,5.139209003389313,4.676910334700024,2.8311851814803872,137.64656548559478,5,0.40297315218510166,0.08639469999980065
1,A13F14,43.8,29.88607242496986,0.0,0.0,6.155547374896658,5.57977475715905,2.9234857431860775,131.78840446883817,5,0.38645858918150194,0.09179260000018985
2,A13F14,43.8,64.56668473966994,0.0,0.0,6.518508569792124,5.696298781054744,4.429515195997352,145.85317141577494,6,0.325780239629282,0.08716410000033648
3,A13F14,43.8,45.851170181259505,0.0,0.0,6.5910463460068005,5.8565885554804265,3.4884919750712577,124.20167932391757,5,0.43079508431563973,0.08711940000011964
4,A13F14,43.8,39.23037981559716,0.0,0.0,6.086944567652347,5.679188548735949,3.5643058547222326,154.4388447439321,5,0.3563149747987464,0.08813040000040928
5,A13F14,43.8,41.932973711820566,0.0,0.0,6.059188431839818,5.680658340476744,3.1699228474781838,168.10977974383425,5,0.4433869371158075,0.08717950000027486
6,A13F14,43.8,45.86021946089792,0.0,0.0,6.6482523955773765,6.225968024750531,3.9951744523754775,170.85221069211423,6,0.3273508883487831,0.08602309999969293
7,A13F14,43.8,68.625187540383,0.0,0.0,5.315232699153153,4.947562390054273,2.6763151277361166,99.36250666529263,5,0.3441539602071771,0.0881824999996752
8,A13F14,43.8,30.33642606190168,0.0,0.0,6.595459532249036,5.583128474407202,3.7642438543445227,232.5167812974415,5,0.38755138553389556,0.08568089999971562
9,A13F14,43.8,41.50302965997443,0.0,0.0,6.228717594320753,5.930701188081785,3.8577297238064063,182.88304783994997,6,0.33276960069224126,0.09113449999949808
10,A13F14,43.8,25.36670713435234,0.011655011655011656,0.02304147465437788,4.722662983375406,4.473145396498936,2.3059872808071993,155.56902448677826,6,0.5071201801210163,0.0883216000001994
11,A13F14,43.8,4.461455274902077,0.4384173580089343,0.6095829636202307,6.305421881013079,5.460847702576363,3.5732988625892075,214.4220509859246,6,0.43226524554181583,0.0946219999996174
12,A13F14,43.8,46.51438146396329,0.0,0.0,5.295539126419445,4.969985928339331,2.718831045638707,196.83208689849707,5,0.45806254326553064,0.09000009999999747
13,A13F14,43.8,66.9366011317481,0.0,0.0,5.08062122468763,4.787874009153391,2.6891580991515,113.8515219080136,6,0.4270107833216231,0.08790880000015022
14,A11F4,33.1,32.50123397230888,0.0,0.0,6.051351786019397,5.365857850141101,4.1035533019135295,175.07373182988735,6,0.34392834072227035,0.09390319999965868
15,A11F4,33.1,31.708998638867353,0.0,0.0,5.192676819495929,4.869156612566303,3.1001315153584286,101.9113937608389,6,0.5164566016103955,0.0876522999997178
16,A11F4,33.1,61.91722582773618,0.0,0.0,6.9621049330887255,6.154111666240208,4.103397739261612,271.2376237034856,4,0.39456679340860734,0.09265079999931913
17,A11F4,33.1,62.85895144023163,0.0,0.0,5.038600708898661,4.68660191290477,2.7172927151571673,182.577278784295,5,0.4251172908428901,0.09088620000056835
18,A14F4,45.4,44.91537629175987,0.0,0.0,6.204217995052313,5.704047382230483,3.613776625725707,180.2355223660885,5,0.32670912428397525,0.09031980000054318
19,A14F4,45.4,15.961187142558224,0.10634648370497427,0.19224806201550387,6.245278086487014,5.555189041630818,3.394454893002827,214.66068105311078,6,0.4308310134869351,0.08520500000031461
20,A14F4,45.4,59.13797748560895,0.0,0.0,6.578887591525447,5.952104151010046,3.488666420324718,263.3004781665425,6,0.3135446823691187,0.09075810000013007
21,A14F4,45.4,38.56586526692493,0.0,0.0,6.4507733271716985,5.850275683606068,3.2986113163613897,280.3411704603711,7,0.3697147569288538,0.08986719999938941
22,A11F11,33.1,67.60918445651161,0.0,0.0,6.502611221456451,6.060280313502888,3.436539343308916,251.57674690418492,9,0.33465988506311967,0.08611339999970369
23,A11F11,33.1,52.72947092175133,0.0,0.0,7.069192224803039,6.012789994010392,3.905237401015958,251.8433973251345,5,0.4263222053198,0.08799760000056267
24,A11F11,33.1,27.884126576320117,0.0,0.0,6.266849467100468,5.794241706957378,3.3873033166060287,157.93604070097507,5,0.46946566289486885,0.09047680000003311
25,A11F11,33.1,38.65042875595285,0.0,0.0,5.46528230975984,4.884275347387479,3.279279165026976,201.36688099156933,5,0.47843750825555165,0.08457540000017616
26,A11F11,33.1,14.329672015853365,0.012127894156560088,0.023965141612200435,6.156618001448395,5.376559115292484,3.8251272607167466,168.35721589213108,4,0.3413237483218987,0.08932779999940976
27,A11F11,33.1,47.920750310781145,0.0,0.0,4.649806571995679,4.40692514280099,2.4904115295006646,156.38200137237547,4,0.5729432952501466,0.08773040000050969
28,A2F1,48.5,49.56164591039434,0.0,0.0,5.627670358278289,5.341923571626315,2.9711149268409223,300.82072185945026,4,0.43266092677662693,0.087244099999225
29,A2F1,48.5,68.86101479805474,0.0,0.0,7.318111914827315,5.827827969372239,5.189558753676981,305.83954688927076,4,0.40663539384140535,0.08792569999968691
30,A2F1,48.5,88.83361749066222,0.0,0.0,5.9931012517697,5.593122283083898,2.6957826530686972,350.77366087947456,5,0.30098889070816426,0.08789699999942968
31,A3F12,56.9,31.599477706615946,0.0,0.0,5.158689522948437,4.940772293144643,2.3829034344670688,248.28254332066976,5,0.3902046504346845,0.09041359999991982
32,A3F12,56.9,8.274226387578471,0.025331724969843185,0.04941176470588235,5.191786919431912,4.852898691652163,2.5357457149512728,302.8573102313745,4,0.37580830689944494,0.09178309999970224
33,A3F12,56.9,11.2762969630038,0.009259259259259259,0.01834862385321101,5.063203039886393,4.835474896001902,2.4272038822766397,333.6330404798781,5,0.39613337470968235,0.09109559999978956
34,A16F13,57.0,34.962914884247226,0.0,0.0,5.887920522011985,5.483527063901269,3.2271147161496385,260.392264855669,5,0.4410139492029363,0.08657839999978023
35,A16F13,57.0,60.135482251935684,0.0,0.0,5.6507491434552914,4.967284086324844,3.138425483140321,184.48080418235654,5,0.583607513212533,0.08861090000027616
36,A16F13,57.0,42.225622196693145,0.0,0.0,5.950114263071802,5.663208109907019,2.8271654637989316,185.38780317882876,7,0.33780068446574035,0.09271989999979269
37,A16F13,57.0,16.709522878451978,0.025821596244131457,0.05034324942791762,6.921549404126007,6.523939983829471,3.2809123171531507,240.0627415572817,7,0.33048292123125406,0.09560249999958614
38,A3F13,56.9,80.1010012802038,0.0,0.0,7.412206805988026,6.799131518226737,5.001711599127629,224.75318650615293,7,0.23441070017945453,0.09531190000052447
39,A3F13,56.9,59.33519848535545,0.0,0.0,6.426667706055163,6.061864603424506,3.2336242218289013,271.4830547135278,5,0.31119268384439525,0.09307379999972909
40,A3F13,56.9,32.59149340069482,0.0,0.0,6.3148524418169085,5.969796595506207,3.667737918584269,257.1447184166583,5,0.40767384723942646,0.08862039999985427
41,A3F13,56.9,96.32661943143177,0.0,0.0,5.721436783518835,5.449015761661007,2.922531678267739,267.36451432947143,6,0.35313532847685997,0.0849793999996109
42,A16F12,57.0,32.591955599840404,0.03622047244094488,0.06990881458966565,6.995759247042842,6.38254246688164,2.9899567828382456,421.2493072796053,6,0.29591580362526276,0.08678899999995338
43,A16F12,57.0,76.11510089189773,0.0,0.0,7.810686761221859,7.474410711323167,5.035622525512801,341.22731868581366,7,0.21331167259238779,0.08577969999987545
44,A16F12,57.0,9.814693809229352,0.1111111111111111,0.2,7.802914204076515,7.281797171028649,5.578855569757833,359.9192988907086,6,0.21698137330889278,0.09014599999954953
45,A12F11,39.0,42.75717028512518,0.0,0.0,5.378237084737883,4.980290964194562,2.994743918088533,222.4256550654079,6,0.483318349071253,0.08714529999997467
46,A12F11,39.0,19.391438949706483,0.018867924528301886,0.037037037037037035,4.858925340458918,4.5234769788333935,1.969821708309662,229.7936862311801,7,0.2985236792915736,0.08379629999944882
47,A12F11,39.0,44.13487462261901,0.0,0.0,5.4353201930941815,4.962940018378188,2.2729125083408444,310.0966523144075,7,0.25348873606778294,0.0839931999998953
48,A12F11,39.0,47.449316170416346,0.0,0.0,5.201723780521627,4.91497614389111,2.6776691180633008,178.83464893719852,6,0.4372003173589126,0.0838024000004225
49,A12F11,39.0,31.38801767647936,0.0,0.0,6.3047331192867375,5.660570662842766,3.3688274226107335,251.9668835792563,6,0.46754107388273125,0.0835014999993291
50,A12F11,39.0,27.536253824614132,0.0,0.0,5.975385798097335,5.614278718802149,3.079974215880036,201.91933390598655,7,0.41036442302653586,0.08742379999966943
51,A12F11,39.0,12.32193041269468,0.14056224899598393,0.24647887323943662,5.580613273995095,5.08132916010425,2.8728356108761854,167.55049807074883,6,0.5020251636420372,0.08336969999982102
52,A13F12,43.8,76.20118603674047,0.0,0.0,5.3769357080248925,4.909618028474727,2.796768206501434,122.91871847726884,7,0.39111176678257464,0.0843801999999414
53,A13F12,43.8,40.59418190697608,0.0,0.0,5.27819191572374,4.951095746788391,2.315873539937413,354.802877143893,7,0.3089589628298222,0.08319329999994807
